New SKU,Brand,Upstream Contact,Type,Location,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63
GN7664471-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,0,0,0,0,0,0,0,42499,42499,42499,19352,46249,46249,46249,49999,49999,49999,51249,51249,51249,51249,51249,51249,54374,57999,53999,57332,53749,56874,56874,60624,60624,62499,62499,54999,54999,54999,54999,56874,56874,56874,56874,56874,56874,56874,58749,56874,56874,46999,47999,49499,52099,58932,61732,49428,58699,58699,58699,54799,44999,46499,53399,57299
GN7664471-Z-WH32531,Woodsworth,Shree Vinayak Corporation,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56874,46999,47999,49499,52099,58932,61732,49428,58699,58699,58699,54799,44999,46499,53399,57299
GN6424471-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,0,0,0,0,0,0,0,43749,43749,43749,20296,48749,48749,48749,52499,52499,52499,52499,52499,52499,52499,52499,52499,55624,61332,61332,65332,61249,64999,64999,64999,64999,66874,66874,60624,60624,60624,60624,62499,62499,62499,62499,62499,62499,62499,64374,62499,62499,51999,52999,54499,57499,64665,64665,64713,66699,66699,62799,62799,50699,51299,56099,60199
GN8964471-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,0,0,0,0,0,0,0,43749,43749,43749,20296,48749,48749,48749,52499,52499,52499,54999,54999,54999,54999,54999,54999,58749,62666,62666,66666,62499,66874,66874,66874,66874,69374,69374,59374,59374,59374,59374,61249,61249,61249,61249,61249,61249,61249,63124,61249,61249,50999,51999,53499,56399,64266,64665,64713,66699,66699,62799,62799,50699,51299,56099,60199
GN7517761-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,26874,24999,24999,24999,24999,24999,24999,24999,27499,27499,11328,27499,27499,27499,29999,29999,29999,29999,29999,29999,29999,29999,29999,31874,33999,33999,35999,33749,35624,35624,28749,28749,29374,29374,29999,29999,29999,29999,30624,30624,30624,30624,30624,30624,30624,31249,30624,30624,24999,25999,27799,29199,32799,32799,32856,33799,33799,33799,29499,24599,20599,29799,28799
GN2527951-Z-WH15338,Woodsworth,Ramayan Exim,HB-SW,Mumbai,44374,41874,41874,41874,34999,34999,34999,34999,37499,37499,20532,36874,36874,36874,38749,38749,34374,34374,34374,34374,34374,34374,34374,48749,51999,51999,58666,54999,58124,58124,61874,61874,63749,63749,55624,55624,55624,55624,56874,56874,56874,45624,39999,36874,31249,59999,58124,58124,47999,48999,52349,55099,62532,62532,52428,53299,53499,53499,53499,44499,37099,53999,52199
GN0587661-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,41874,41874,41874,41874,42499,42499,42499,42499,43749,43749,15989,43749,43749,43749,43749,43749,43749,43749,43749,43749,43749,43749,43749,43749,48666,48666,51999,48749,51874,51874,50624,50624,52499,52499,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,49999,48749,48749,42999,43999,45499,48299,50799,50799,50856,52799,52799,48699,48699,38999,39399,44299,47499
GN0587661-Z-WH32489,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48749,42999,43999,45499,48299,50799,50799,50856,52799,52799,48699,48699,38999,39399,44299,47499
GN9505761-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,40624,40624,40624,40624,41249,41249,41249,41249,42499,42499,15576,42499,42499,42499,42499,42499,26249,37499,37499,37499,37499,42499,42499,43749,48666,48666,51999,48749,51874,51874,51874,51874,53749,53749,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,49999,48749,48749,42999,43999,45499,48299,52132,52132,52142,54099,54099,50799,50799,40599,41099,45299,48599
GN7505761-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,46249,46249,46249,46249,46249,46249,46249,46249,48749,48749,16850,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,48749,51999,51999,30666,28749,51999,51999,55624,55624,57499,57499,57499,57499,48124,48124,48124,48124,48124,41249,48124,48124,48124,49374,47499,47499,40999,41999,43499,45899,51066,51066,51142,52699,52699,52699,51699,41799,33999,46199,44399
GN0324471-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,0,0,0,0,0,0,0,56249,56249,56249,19234,50624,50624,50624,51249,51249,51249,51249,51249,51249,51249,51249,51249,51874,57332,57332,61332,57499,61249,61249,61249,61249,63124,63124,57499,57499,57499,57499,57499,57499,57499,44999,44999,44999,39999,40624,50624,50624,43999,44999,46499,48999,54932,57732,57856,59799,59799,56999,56999,45999,37399,50799,48799
GN7415061-Z-WH4248,Amberville,Vishwakarma Antique,HB-SW,Mumbai,0,46874,46874,46874,47499,47499,47499,47499,48749,48749,19089,48749,0,0,0,0,0,0,41249,41249,41249,51249,51249,51249,0,0,0,0,57499,57499,57499,57499,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,61249,59374,59374,51999,52999,54499,57999,59999,59999,59999,62299,62299,62299,59999,47599,38199,53699,51199
GN7415061-Z-WH10718,Amberville,Woodsmith Creations,HB-SW,Mumbai,46950,46874,46874,46874,47499,47499,47499,47499,48749,48749,19089,48749,48749,48749,48749,46874,31874,41249,41249,41249,41249,51249,51249,51249,54666,54666,57999,54374,57499,57499,57499,57499,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,59374,61249,59374,59374,51999,52999,54499,57999,59999,59999,59999,62299,62299,62299,59999,47599,38199,53699,51199
GN8415061-Z-WH4248,Amberville,Vishwakarma Antique,HB-SW,Mumbai,0,48749,48749,48749,48749,48749,48749,48749,51249,51249,18511,51249,0,0,0,0,0,0,43749,43749,43749,31249,31249,41249,0,0,0,0,53124,53124,56874,56874,58749,58749,58749,58749,58749,58749,58749,58749,58749,44999,44999,44999,44999,51874,50624,50624,43999,44999,46499,49099,54932,54932,54999,56899,56899,54499,54499,43899,35599,52099,49699
GN8415061-Z-WH10718,Amberville,Woodsmith Creations,HB-SW,Mumbai,48749,48749,48749,48749,48749,48749,48749,48749,51249,51249,18511,51249,51249,51249,51249,48749,31249,43749,43749,43749,43749,31249,31249,41249,47999,47999,53332,49999,53124,53124,56874,56874,58749,58749,58749,58749,58749,58749,58749,58749,58749,44999,44999,44999,44999,51874,50624,50624,43999,44999,46499,49099,54932,54932,54999,56899,56899,54499,54499,43899,35599,52099,49699
GN8864471-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,0,0,0,0,0,0,0,56249,56249,56249,19234,50624,50624,50624,51249,51249,51249,52499,52499,52499,52499,52499,52499,52499,55999,55999,59332,55624,59374,59374,59374,59374,61249,61249,56874,56874,56874,56874,56874,56874,56874,44374,39374,39374,35624,36249,43749,43749,37999,38999,40499,42299,46666,57732,57856,59799,59799,56999,56999,45899,37199,50299,48399
GN6378471-Z-WH31628,Woodsworth,Indigo Art Exim,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79999,84999,84999,87499,87499,79999,79999,79999,79999,82499,82499,82499,82499,82499,82499,82499,84999,82499,82499,67999,68999,70499,74199,86532,86532,86570,89299,89299,89299,86499,69699,56599,73499,70999
GN3664471-Z-WH22695,Woodsworth,Shree Sai Art Palace,HB-SW,Mumbai,0,0,0,0,0,0,0,39999,39999,39999,18054,43124,43124,43124,46249,46249,46249,48749,48749,48749,48749,48749,48749,48749,51999,51999,55332,51874,54999,54999,54999,54999,56874,56874,49999,49999,49999,49999,51249,51249,51249,51249,51249,51249,51249,52499,50624,50624,41999,42999,44499,46899,52399,53732,53856,55599,55599,55599,54299,43499,35199,44699,50899
GN0764471-Z-WH2203,Woodsworth,Saffron Art & Craft,HB-SW,Mumbai,0,0,0,0,0,0,0,47499,47499,47499,21594,51874,51874,51874,52499,52499,52499,57499,57499,57499,57499,57499,57499,57499,63332,63332,67332,63124,66874,66874,66874,66874,69374,69374,60624,60624,60624,60624,62499,62499,62499,49374,48124,48124,62499,64374,62499,62499,51999,52999,54499,57499,71465,71465,71570,73899,73899,73899,70799,56899,57499,70599,75699
GN5964471-Z-WH8834,Woodsworth,Manglam,HB-SW,Mumbai,0,0,0,0,0,0,0,37499,37499,37499,17700,42499,42499,42499,42499,42499,42499,44999,44999,44999,44999,44999,44999,44999,49332,49332,51999,48749,51874,51874,57499,57499,59374,59374,50624,50624,50624,50624,51874,51874,51874,51874,51874,51874,51874,53124,51874,51874,42999,43999,45499,47999,53732,53599,53713,55299,55299,51999,51999,42399,34699,46299,44799
GN8505761-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,66249,66249,66249,66249,66249,66249,66249,66249,68749,68749,23010,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,65999,65999,69999,65624,69374,69374,73749,73749,76249,76249,76249,76249,76249,76249,76249,76249,76249,65624,50624,76249,76249,78749,76249,76249,66999,67999,69499,73899,76932,76932,76999,79899,76099,76099,76099,60499,48599,63599,61099
GN8505761-Z-WH21497,Amberville,GANGADHAR RATANLAL FURNITURE SHOWROOM,HB-SW,Mumbai,66249,66249,66249,66249,66249,66249,66249,66249,68749,68749,23010,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,59999,65999,65999,69999,65624,69374,69374,73749,73749,76249,76249,76249,76249,76249,76249,76249,76249,76249,65624,50624,76249,76249,78749,76249,76249,66999,67999,69499,73899,76932,76932,76999,79899,76099,76099,76099,60499,48599,63599,61099
GN6512061-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,63124,63124,63124,63124,63749,63749,63749,63749,66249,66249,22791,58124,58124,58124,58749,56249,56249,56249,56249,56249,0,56249,56249,63749,69999,69999,74666,69999,74374,74374,74374,74374,76874,76874,71249,71249,71249,71249,71249,71249,71249,71249,71249,71249,71249,73749,71249,71249,61999,62999,64499,68299,76265,76266,76285,79199,79199,79199,77499,61199,48899,62599,60099
GN6512061-Z-WH21497,Amberville,GANGADHAR RATANLAL FURNITURE SHOWROOM,HB-SW,Mumbai,0,63124,63124,63124,63749,63749,63749,63749,66249,66249,22791,58124,58124,58124,58749,56249,56249,56249,56249,56249,56249,56249,56249,63749,69999,69999,74666,69999,74374,74374,74374,74374,76874,76874,71249,71249,71249,71249,71249,71249,71249,71249,71249,71249,71249,73749,71249,71249,61999,62999,64499,68299,76265,76266,76285,79199,79199,79199,77499,61199,48899,62599,60099
GN5061761-Z-WH8834,Woodsworth,Manglam,HB-SW,Mumbai,61874,54374,54374,54374,57499,57499,57499,57499,62499,62499,23010,38749,38749,38749,38749,37499,37499,52499,52499,52499,52499,36874,36874,48749,39332,39332,62666,58749,61874,61874,68749,68749,71249,71249,61874,61874,61874,61874,63749,63749,63749,50624,44374,39999,63749,65624,63749,63749,52999,53999,55499,58499,66932,66932,66999,68999,62799,62799,62799,51299,42199,57099,55099
GN7864471-Z-WH9047,Mudramark,Vinayak Home & Group,HB-SW,Mumbai,0,0,0,0,0,0,0,74999,74999,74999,26550,69999,69999,69999,69999,69999,69999,79999,79999,79999,79999,79999,79999,79999,75999,75999,80666,75624,80624,80624,80624,80624,83124,83124,79374,79374,79374,79374,79374,79374,79374,79374,79374,79374,79374,81874,79374,79374,69999,70999,72499,76799,84799,84799,84856,87999,83999,83999,83999,66799,67499,79799,85499
GN4274471-Z-WH4248,Mudramark,Vishwakarma Antique,HB-SW,Mumbai,0,0,0,0,0,0,0,23749,23749,23749,11210,29999,29999,29999,29999,29999,29999,31249,31249,31249,31249,31249,31249,31249,32666,32666,34666,32499,34374,31874,33749,33749,34999,34999,34999,34999,34999,34999,34999,34999,34999,34999,34999,34999,34999,36249,33749,33749,28999,29999,31499,33399,35466,35599,35713,37099,37099,37099,37099,29199,29499,33499,35899
GN1487661-Z-WH10868,Amberville,Vishwakarma Art Palace,HB-SW,Mumbai,59999,59999,59999,59999,59999,59999,59999,59999,62499,62499,20768,62499,62499,62499,62499,62499,62499,62499,62499,62499,62499,62499,62499,62499,69332,69332,63999,59999,63749,63749,63749,63749,66249,66249,59999,59999,59999,59999,59999,59999,59999,50624,50624,59999,59999,64999,63124,63124,54999,55999,57499,61099,63999,63999,63999,66499,66499,66499,62799,49999,50499,55599,59599
GN7914471-Z-WH13834,Woodsworth,Vintej Home,HB-SW,Mumbai,0,0,0,0,0,0,0,47499,47499,47499,20650,49374,49374,49374,49999,49999,49999,51249,51249,51249,51249,51249,51249,51249,56666,77332,81999,76874,81249,81249,86874,86874,89999,89999,74999,74999,74999,74999,77499,77499,77499,77499,77499,77499,77499,79999,77499,77499,63999,64999,66499,70699,82132,71999,71999,66599,66599,66599,62499,51899,43299,62699,63699
GN1074471-Z-WH13834,Woodsworth,Vintej Home,HB-SW,Mumbai,0,0,0,0,0,0,0,43749,43749,43749,19470,46874,46874,46874,47499,47499,47499,48749,48749,48749,48749,48749,48749,48749,53999,74666,79332,74374,78749,78749,83749,83749,86874,86874,78124,78124,78124,78124,80624,80624,80624,80624,80624,80624,80624,83124,79999,79999,65999,66999,68499,73199,80399,80399,80428,76399,76399,72699,72699,59399,48799,66199,63999
GN9782761-Z-WH13834,Woodsworth,Vintej Home,HB-SW,Mumbai,51249,45624,45624,45624,47499,47499,47499,47499,51249,51249,20650,51249,51249,51249,51249,51249,51249,51249,51249,51249,51249,51249,51249,51249,56666,77332,81999,76874,81249,81249,86874,86874,89999,89999,74999,74999,74999,74999,77499,77499,77499,77499,77499,77499,77499,79999,77499,77499,63999,64999,66499,70699,82132,71999,71999,66599,66599,66599,62499,51899,43299,62699,60499
GN9782761-Z-WH32484,Woodsworth,Vintej Home,HB-SW,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77499,63999,64999,66499,70699,82132,71999,71999,66599,66599,66599,62499,51899,43299,62699,60499
